epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,62.7149,1.16844,1.7067,1.323,0.47307,0.47411,0.41615,0.14315,1.44323,2.31523,1.67271,0.000376351,0.000376351,0.000376351
84,63.3676,1.16956,1.67654,1.31192,0.50724,0.44879,0.43238,0.14605,1.43372,2.34602,1.67514,0.00035655,0.00035655,0.00035655
85,64.0229,1.13907,1.6523,1.28394,0.45988,0.45504,0.41272,0.14273,1.44314,2.36087,1.67059,0.00033675,0.00033675,0.00033675
86,64.6727,1.17708,1.71532,1.30965,0.49225,0.42507,0.40671,0.13983,1.43903,2.3634,1.67754,0.000316949,0.000316949,0.000316949
87,65.3167,1.15027,1.68214,1.31033,0.4709,0.47684,0.42645,0.1439,1.43005,2.33931,1.67867,0.000297148,0.000297148,0.000297148
88,65.9627,1.16785,1.67192,1.30731,0.48782,0.48501,0.42275,0.14783,1.44445,2.29449,1.68766,0.000277348,0.000277348,0.000277348
89,66.617,1.14968,1.67443,1.33998,0.51314,0.49864,0.44929,0.15564,1.4391,2.26461,1.69855,0.000257547,0.000257547,0.000257547
90,67.2721,1.13997,1.62758,1.30074,0.53168,0.44142,0.44482,0.15466,1.4355,2.27221,1.69172,0.000237747,0.000237747,0.000237747
91,67.9227,1.17273,1.68994,1.31319,0.50241,0.47871,0.45008,0.15394,1.45021,2.27516,1.69393,0.000217946,0.000217946,0.000217946
92,68.5709,1.1304,1.60152,1.27906,0.5103,0.49046,0.45426,0.15212,1.45585,2.2721,1.6997,0.000198145,0.000198145,0.000198145
93,69.2249,1.15621,1.6293,1.2836,0.51,0.47139,0.4513,0.14789,1.46292,2.26862,1.70431,0.000178345,0.000178345,0.000178345
94,70.264,1.22247,1.97472,1.39849,0.50006,0.46594,0.44303,0.14785,1.46079,2.31029,1.71197,0.000158544,0.000158544,0.000158544
95,70.8972,1.15947,1.80287,1.3455,0.45482,0.43597,0.39647,0.13494,1.44742,2.45236,1.72055,0.000138744,0.000138744,0.000138744
96,71.5337,1.161,1.73766,1.37084,0.42664,0.40054,0.36928,0.12715,1.42767,2.49713,1.71197,0.000118943,0.000118943,0.000118943
97,72.1614,1.13212,1.72376,1.3478,0.45148,0.40872,0.39121,0.13736,1.41539,2.42628,1.67722,9.91424e-05,9.91424e-05,9.91424e-05
98,72.7966,1.1095,1.63447,1.32936,0.48197,0.44414,0.4114,0.14278,1.43493,2.34843,1.67264,7.93418e-05,7.93418e-05,7.93418e-05
99,73.4315,1.12466,1.635,1.30781,0.50507,0.40318,0.41527,0.14327,1.4461,2.32262,1.68329,5.95412e-05,5.95412e-05,5.95412e-05
100,74.0639,1.10999,1.63254,1.30876,0.52344,0.41689,0.43183,0.14506,1.44869,2.31759,1.68827,3.97406e-05,3.97406e-05,3.97406e-05
